Player,Team,PA,AB,R,H,TB,2B,3B,HR,RBI,BB,SO,SB,Pos,HBP,SH,SF,GIDP
Andrew Vaughn,Chicago White Sox,10,10,0,1,1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Brooks Baldwin,Chicago White Sox,9,8,0,1,1,0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0
Chase Meidroth,Chicago White Sox,12,12,2,6,10,1,0,1,1,0,0,2,0.0,0.0,0.0,0.0,0.0
Edgar Quero,Chicago White Sox,12,11,0,2,2,0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0
Josh Rojas,Chicago White Sox,7,7,0,2,2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Joshua Palacios,Chicago White Sox,9,9,0,1,1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Lenyn Sosa,Chicago White Sox,5,5,0,1,1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Luis Robert Jr.,Chicago White Sox,12,12,1,2,3,1,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
Matt Thaiss,Chicago White Sox,5,5,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Michael A. Taylor,Chicago White Sox,5,5,1,1,1,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0
Miguel Vargas,Chicago White Sox,12,10,3,6,16,1,0,3,5,0,1,0,0.0,0.0,0.0,0.0,0.0
Tim Elko,Chicago White Sox,7,6,1,2,5,0,0,1,1,1,2,0,0.0,0.0,0.0,0.0,0.0
